wavelen(micron) a(micron) Qabs Qext Qpol
0.125501 0.009721 0.337104 0.371059 0.074758
0.125501 0.010321 0.349549 0.394037 0.084148
0.125501 0.010957 0.365949 0.423970 0.095364
0.125501 0.011633 0.386779 0.462216 0.108927
0.125501 0.012350 0.412544 0.510309 0.125382
0.125501 0.013112 0.443984 0.570305 0.145464
0.125501 0.013921 0.482113 0.644860 0.170032
0.125501 0.014779 0.528047 0.736929 0.199900
0.125501 0.015691 0.583336 0.850280 0.235850
0.125501 0.016659 0.649560 0.988620 0.278077
0.125501 0.017686 0.727990 1.155289 0.325620
0.125501 0.018777 0.818553 1.351307 0.375026
0.125501 0.019935 0.917567 1.572572 0.418196
0.125501 0.021165 1.016441 1.806382 0.442823
0.125501 0.022470 1.104605 2.033753 0.439791
0.125501 0.023856 1.175805 2.237548 0.413817
0.125501 0.025327 1.232498 2.411182 0.382622
0.125501 0.026889 1.283912 2.560821 0.358466
0.125501 0.028548 1.336432 2.695143 0.338595
0.125501 0.030309 1.390114 2.818426 0.317642
0.125501 0.032178 1.436508 2.926569 0.296784
0.125501 0.034162 1.465222 3.008937 0.280900
0.125501 0.036270 1.481019 3.062541 0.263179
0.125501 0.038507 1.498774 3.097459 0.234571
0.125501 0.040881 1.521225 3.121654 0.201873
0.125501 0.043403 1.532531 3.128413 0.180620
0.125501 0.046080 1.523491 3.107839 0.169893
0.125501 0.048922 1.508084 3.069194 0.155211
0.125501 0.051939 1.503083 3.034586 0.138292
0.125501 0.055143 1.501898 3.001478 0.125227
0.125501 0.058544 1.487061 2.944927 0.109052
0.125501 0.062155 1.465065 2.871420 0.091508
0.125501 0.065988 1.447885 2.799017 0.081614
0.125501 0.070058 1.428632 2.720517 0.073969
0.125501 0.074379 1.403916 2.635070 0.062535
0.125501 0.078966 1.381610 2.565235 0.058240
0.125501 0.083837 1.356500 2.509474 0.057871
0.125501 0.089008 1.332297 2.469889 0.053238
0.125501 0.094497 1.310114 2.452611 0.050302
0.125501 0.100326 1.286313 2.443732 0.043222
0.125501 0.106513 1.265774 2.438433 0.036092
0.125501 0.113083 1.243864 2.427725 0.028491
0.125501 0.120057 1.221476 2.407306 0.023022
0.125501 0.127462 1.199567 2.380015 0.019776
