wavelen(micron) a(micron) Qabs Qext Qpol
0.125501 0.006788 0.345774 0.405023 0.148237
0.125501 0.007207 0.371338 0.437606 0.160408
0.125501 0.007651 0.399376 0.473810 0.173951
0.125501 0.008123 0.430085 0.514159 0.189113
0.125501 0.008624 0.463630 0.559316 0.206018
0.125501 0.009156 0.500233 0.609902 0.224915
0.125501 0.009721 0.540385 0.666715 0.246137
0.125501 0.010321 0.584467 0.731062 0.270013
0.125501 0.010957 0.632252 0.803105 0.296557
0.125501 0.011633 0.684736 0.884563 0.326347
0.125501 0.012350 0.741613 0.976223 0.359321
0.125501 0.013112 0.803176 1.078965 0.395448
0.125501 0.013921 0.869536 1.193759 0.434713
0.125501 0.014779 0.940687 1.321376 0.476501
0.125501 0.015691 1.015215 1.458873 0.519372
0.125501 0.016659 1.093208 1.606192 0.561153
0.125501 0.017686 1.174291 1.761841 0.600306
0.125501 0.018777 1.255761 1.920075 0.632859
0.125501 0.019935 1.336027 2.077338 0.655736
0.125501 0.021165 1.414031 2.230267 0.664637
0.125501 0.022470 1.486733 2.373471 0.657324
0.125501 0.023856 1.551020 2.503002 0.632319
0.125501 0.025327 1.605913 2.616956 0.593210
0.125501 0.026889 1.650797 2.716642 0.546212
0.125501 0.028548 1.688179 2.803810 0.499746
0.125501 0.030309 1.717964 2.881643 0.459020
0.125501 0.032178 1.739321 2.951610 0.422584
0.125501 0.034162 1.752713 3.015839 0.383293
0.125501 0.036270 1.753269 3.071414 0.336857
0.125501 0.038507 1.743258 3.114435 0.286639
0.125501 0.040881 1.723019 3.141004 0.242515
0.125501 0.043403 1.697816 3.149053 0.211893
0.125501 0.046080 1.669227 3.138572 0.190474
0.125501 0.048922 1.634852 3.114678 0.169929
0.125501 0.051939 1.597218 3.085805 0.148362
0.125501 0.055143 1.559969 3.060257 0.130958
0.125501 0.058544 1.525047 3.036508 0.119448
0.125501 0.062155 1.487939 3.008116 0.109113
0.125501 0.065988 1.452473 2.977127 0.098022
0.125501 0.070058 1.421094 2.948197 0.087662
0.125501 0.074379 1.391522 2.923443 0.076824
0.125501 0.078966 1.361078 2.899042 0.064991
0.125501 0.083837 1.332507 2.875431 0.053898
0.125501 0.089008 1.305238 2.852980 0.042989
0.125501 0.094497 1.277944 2.830309 0.032132
0.125501 0.100326 1.251078 2.805832 0.023229
0.125501 0.106513 1.224552 2.782531 0.015551
0.125501 0.113083 1.198207 2.758384 0.009027
0.125501 0.120057 1.172708 2.735548 0.003909
0.125501 0.127462 1.148101 2.713906 0.000407
0.125501 0.135324 1.124882 2.692870 0.004032
0.125501 0.143670 1.101917 2.673914 0.007088
0.125501 0.152531 1.079928 2.655086 0.009678
0.125501 0.161939 1.058719 2.636858 0.011677
0.125501 0.171927 1.038080 2.619042 0.013194
0.125501 0.182531 1.018422 2.601468 0.014387
0.125501 0.193788 0.999395 2.584463 0.015470
0.125501 0.205741 0.981410 2.567664 0.016392
0.125501 0.218430 0.964040 2.551993 0.017128
0.125501 0.231902 0.947398 2.537566 0.017682
0.125501 0.246205 0.931246 2.522784 0.018052
0.125501 0.261390 0.915645 2.508664 0.018252
0.125501 0.277512 0.900591 2.495501 0.018288
0.125501 0.294628 0.886298 2.483213 0.018184
0.125501 0.312800 0.872509 2.471534 0.018028
0.125501 0.332093 0.859205 2.461274 0.017819
0.125501 0.352575 0.846290 2.452231 0.017605
0.125501 0.374321 0.833776 2.443600 0.017375
0.125501 0.397408 0.821423 2.435950 0.017094
0.125501 0.421919 0.809102 2.430528 0.016730
0.125501 0.447941 0.796928 2.427721 0.016342
0.125501 0.475569 0.784352 2.426139 0.015850
0.125501 0.504900 0.997637 2.427221 0.015184
0.125501 0.536041 0.981541 2.431977 0.014558
0.125501 0.569102 0.963273 2.440090 0.014093
0.125501 0.604203 0.942323 2.452752 0.013862
0.125501 0.641468 0.918212 2.470526 0.013877
0.125501 0.681032 0.890389 2.494032 0.014148
0.125501 0.723036 0.858261 2.523662 0.014682
0.125501 0.767630 0.821253 2.560155 0.015484
0.125501 0.814976 0.778711 2.603419 0.016416
0.125501 0.865241 0.731890 2.653278 0.017533
0.125501 0.918606 0.681053 2.709773 0.018806
